code,iata,icao,lat,lon,elevation,name,city,region,country,continent
UTK,UTK,03N,11.222,169.852005,4.0,Utirik Airport,Utirik Island,Utirik,Marshall Islands,Europe
,,03PN,41.066861,-76.180806,479.0,M.P. Metals Heliport,Berwick,Pennsylvania,United States,Europe
,,04VA,36.898,-82.078,2004.0,Russell County Medical Center Heliport,Lebanon,Virginia,United States,Europe
,,05AK,61.66830063,-149.1880035,620.0,Wasilla Creek Airpark,Palmer,Alaska,United States,Europe
,,05CO,40.2149839,-104.9844228,4978.0,Rancho De Aereo Airport,Mead,Colorado,United States,Europe
PQS,PQS,0AK,61.934601,-162.899994,305.0,Pilot Station Airport,Pilot Station,Alaska,United States,Europe
,,12PA,39.8495,-77.184167,612.0,Helicopter Applicators Inc Heliport,Gettysburg,Pennsylvania,United States,Europe
,,14NY,40.7975502014,-73.4179000854,222.0,Windy's Heliport,Melville,New York,United States,Europe
NUP,NUP,16A,60.905591,-162.440454,12.0,Nunapitchuk Airport,Nunapitchuk,Alaska,United States,Europe
PPV,PPV,19P,56.328800201416,-133.61000061035,0.0,Port Protection Seaplane Base,Port Protection,Alaska,United States,Europe
,,30TX,30.2323611,-98.6549722,1463.0,Burg Lake Aero Airport,Stonewall,Texas,United States,Europe
,,3IN6,38.588333,-85.505833,750.0,Holloway Field,New Washington,Indiana,United States,Europe
,,3LA7,30.076753,-91.948969,30.0,Variable Bor Ram Heliport,Broussard,Louisiana,United States,Europe
,,45NR,34.316552,-77.768284,29.0,NHRMC-Ed North Heliport,Wilmington,North Carolina,United States,Europe
ATT,ATT,4A2,60.866699,-162.272995,17.0,Atmautluak Airport,Atmautluak,Alaska,United States,Europe
KOZ,KOZ,4K5,57.925362,-152.496715,55.0,Ouzinkie Airport,Ouzinkie,Alaska,United States,Europe
,,4OR1,44.912,-123.001502752,209.0,McNary ARNG Field Heliport,Salem,Oregon,United States,Europe
WHD,WHD,4Z7,55.903324,-130.009975,0.0,Hyder Seaplane Base,Hyder,Alaska,United States,Europe
WKK,WKK,5A8,59.2826004028,-158.617996216,66.0,Aleknagik / New Airport,Aleknagik,Alaska,United States,Europe
WFB,WFB,5KE,55.349899,-131.677002,0.0,Ketchikan Harbor Seaplane Base,Ketchikan,Alaska,United States,Europe
,,5XS5,32.542777777800005,-95.70861111110001,545.0,Wits End Ranch Airport,Van,Texas,United States,Europe
TSS,TSS,6N5,40.74259948730469,-73.97209930419922,10.0,East 34th Street Heliport,New York,New York,United States,Europe
QNY,QNY,6N7,40.734001,-73.9729,0.0,New York Skyports Inc Seaplane Base,New York,New York,United States,Europe
TEK,TEK,7KA,60.871449,-146.690297,62.0,Tatitlek Airport,Tatitlek,Alaska,United States,Europe
,,84CO,39.344239,-104.841906,6480.0,Rampart Heliport,Castle Rock,Colorado,United States,Europe
,,97XS,33.432833,-96.479467,741.0,Tilghman Airport,Van Alstyne,Texas,United States,Europe
CHU,CHU,9A3,61.579102,-159.216003,244.0,Chuathbaluk Airport,Chuathbaluk,Alaska,United States,Europe
KCQ,KCQ,A79,56.2550010681,-158.774993896,50.0,Chignik Lake Airport,Chignik Lake,Alaska,United States,Europe
,,AE-0001,24.214693069458008,51.44989013671875,0.0,Ras Sumeira,,Abu Dhabi Emirate,United Arab Emirates,Europe
AEI,AEI,AEI,36.12888,-5.441118,98.0,Algeciras Heliport,Algeciras,Cádiz,Spain,Europe
,,AF15,37.423301696777344,69.4302978515625,1437.0,Qara Tepa Heliport,,Takhar Province,Afghanistan,Europe
AFT,AFT,AGAF,-9.19138888889,160.948611111,23.0,Afutara Aerodrome,Bila,Malaita,Solomon Islands,Europe
ATD,ATD,AGAT,-8.87333,161.011002,0.0,Uru Harbour Airport,Atoifi,Malaita,Solomon Islands,Europe
AKS,AKS,AGGA,-8.70256996155,160.682006836,5.0,Auki Airport,Auki,Malaita,Solomon Islands,Europe
BNY,BNY,AGGB,-11.302222222200001,159.798333333,60.0,Bellona/Anua Airport,Anua,Rennell and Bellona,Solomon Islands,Europe
CHY,CHY,AGGC,-6.711944,156.396111,0.0,Choiseul Bay Airport,,Choiseul,Solomon Islands,Europe
BAS,BAS,AGGE,-6.990745,155.886656,5.0,Ballalae Airport,Ballalae,Western,Solomon Islands,Europe
FRE,FRE,AGGF,-8.1075,159.576996,0.0,Fera/Maringe Airport,Fera Island,Isabel,Solomon Islands,Europe
HIR,HIR,AGGH,-9.4280004501343,160.05499267578,28.0,Honiara International Airport,Honiara,Capital Territory (Honiara),Solomon Islands,Europe
MBU,MBU,AGGI,-9.7475004196167,159.83900451660156,0.0,Babanakira Airport,Mbambanakira,Guadalcanal,Solomon Islands,Europe
IRA,IRA,AGGK,-10.449700355500001,161.897994995,54.0,Ngorangora Airport,Kirakira,Makira,Solomon Islands,Europe
SCZ,SCZ,AGGL,-10.72029972076416,165.7949981689453,18.0,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Temotu,Solomon Islands,Europe
MUA,MUA,AGGM,-8.327969551086426,157.26300048828125,10.0,Munda Airport,,Western,Solomon Islands,Europe
GZO,GZO,AGGN,-8.09778022766,156.863998413,13.0,Nusatupe Airport,Gizo,Western,Solomon Islands,Europe
MNY,MNY,AGGO,-7.416940212249756,155.56500244140625,0.0,Mono Airport,Stirling Island,Western,Solomon Islands,Europe
RNL,RNL,AGGR,-11.533900260925293,160.06300354003906,0.0,Rennell/Tingoa Airport,Rennell Island,Rennell and Bellona,Solomon Islands,Europe
NNB,NNB,AGGT,-10.847994,162.454108,3.0,Santa Ana Airport,Santa Ana Island,Makira,Solomon Islands,Europe
RUS,RUS,AGGU,-9.861669540409999,160.824996948,0.0,Marau Airport,Marau,Guadalcanal,Solomon Islands,Europe
VAO,VAO,AGGV,-7.585559844970703,158.7310028076172,0.0,Suavanao Airport,Suavanao,Isabel,Solomon Islands,Europe
XYA,XYA,AGGY,-9.092816,159.21841,60.0,Yandina Airport,Yandina,Central,Solomon Islands,Europe
KGE,KGE,AGKG,-7.3305,157.585,30.0,Kaghau Airport,Kagau Island,Choiseul,Solomon Islands,Europe
RBV,RBV,AGRM,-8.168060302734375,157.64300537109375,0.0,Ramata Airport,Ramata,Western,Solomon Islands,Europe
AIC,AIC,AIP,7.279422,168.8257,16.0,Ailinglaplap Airok Airport,Bigatyelang Island,Ailinglapalap,Marshall Islands,Europe
AOS,AOS,AK81,57.4715003967,-153.815002441,0.0,Amook Bay Seaplane Base,Amook Bay,Alaska,United States,Europe
PPE,PPE,AMC,31.351621,-113.305864,71.0,Mar de Cortés International Airport,Puerto Peñasco,Sonora,Mexico,Europe
INU,INU,ANYN,-0.547458,166.919006,22.0,Nauru International Airport,Yaren District,Yaren,Nauru,Europe
,,AR-0004,-32.35820007324219,-65.01740264892578,796.0,Merlo Airport,Merlo,San Luis Province,Argentina,Europe
,,AR-0503,-42.521363,-68.287861,0.0,Gan Gan Field,,Chubut Province,Argentina,Europe
ATP,ATP,ATP,-3.1436111111100002,142.346805556,10.0,Aitape Airport,Aitape,Sandaun (West Sepik),Papua New Guinea,Europe
HIS,HIS,AU-HIS,-20.059999465942383,148.88099670410156,0.0,Hayman Island Resort Seaplane Base,Hayman Island,Queensland,Australia,Europe
AXF,AXF,AXF,38.8241,105.626,4806.0,Alxa Left Banner-Bayanhot Airport,Bayanhot,Inner Mongolia Autonomous Region,China,Europe
BUA,BUA,AYBK,-5.4223198890686035,154.67300415039062,11.0,Buka Airport,Buka Island,Bougainville (North Solomons),Papua New Guinea,Europe
CMU,CMU,AYCH,-6.024290084838867,144.9709930419922,4974.0,Chimbu Airport,Kundiawa,Chimbu,Papua New Guinea,Europe
DAU,DAU,AYDU,-9.08675956726,143.207992554,20.0,Daru Airport,Daru,Western (Fly River),Papua New Guinea,Europe
GKA,GKA,AYGA,-6.081689834590001,145.391998291,5282.0,Goroka Airport,Goronka,Eastern Highlands,Papua New Guinea,Europe
GUR,GUR,AYGN,-10.3114995956,150.333999634,88.0,Gurney Airport,Gurney,Milne Bay,Papua New Guinea,Europe
PNP,PNP,AYGR,-8.80453968048,148.309005737,311.0,Girua Airport,Popondetta,Northern (Oro),Papua New Guinea,Europe
HKN,HKN,AYHK,-5.462170124053955,150.40499877929688,66.0,Kimbe Airport,Hoskins,West New Britain,Papua New Guinea,Europe
LSA,LSA,AYKA,-8.505820274353027,151.08099365234375,27.0,Losuia Airport,Losuia,Milne Bay,Papua New Guinea,Europe
UNG,UNG,AYKI,-6.1257100105285645,141.28199768066406,88.0,Kiunga Airport,Kiunga,Western (Fly River),Papua New Guinea,Europe
KRI,KRI,AYKK,-7.424379825592041,144.2500762939453,50.0,Kikori Airport,Kikori,Gulf,Papua New Guinea,Europe
KMA,KMA,AYKM,-7.96361017227,145.770996094,10.0,Kerema Airport,Kerema,Gulf,Papua New Guinea,Europe
KIE,KIE,AYKT,-6.30541666667,155.728138889,20.0,Kieta Airport,Kieta,Bougainville (North Solomons),Papua New Guinea,Europe
KVG,KVG,AYKV,-2.57940006256,150.807998657,7.0,Kavieng Airport,Kavieng,New Ireland,Papua New Guinea,Europe
LNV,LNV,AYKY,-3.04361009598,152.628997803,167.0,Londolovit Airport,Londolovit,New Ireland,Papua New Guinea,Europe
MAG,MAG,AYMD,-5.20707988739,145.789001465,20.0,Madang Airport,Madang,Madang,Papua New Guinea,Europe
HGU,HGU,AYMH,-5.826789855957031,144.29600524902344,5388.0,Mount Hagen Kagamuga Airport,Mount Hagen,Western Highlands,Papua New Guinea,Europe
MDU,MDU,AYMN,-6.14774,143.656998,5680.0,Mendi Airport,Mendi,Southern Highlands,Papua New Guinea,Europe
MAS,MAS,AYMO,-2.06189,147.423996,12.0,Momote Airport,Manus Island,Manus,Papua New Guinea,Europe
MXH,MXH,AYMR,-6.36332988739,143.238006592,2740.0,Moro Airport,Moro,Southern Highlands,Papua New Guinea,Europe
MIS,MIS,AYMS,-10.689200401299999,152.837997437,26.0,Misima Island Airport,Misima Island,Milne Bay,Papua New Guinea,Europe
LAE,LAE,AYNZ,-6.569803,146.725977,239.0,Nadzab Airport,Lae,Morobe,Papua New Guinea,Europe
POM,POM,AYPY,-9.443380355834961,147.22000122070312,146.0,Port Moresby Jacksons International Airport,Port Moresby,National Capital District (Port Moresby),Papua New Guinea,Europe
TIZ,TIZ,AYTA,-5.84499979019,142.947998047,5500.0,Tari Airport,Tari,Hela,Papua New Guinea,Europe
TBG,TBG,AYTB,-5.2786102294921875,141.2259979248047,1570.0,Tabubil Airport,Tabubil,Western (Fly River),Papua New Guinea,Europe
TPI,TPI,AYTI,-8.35666666667,146.989166667,3100.0,Tapini Airport,Tapini,Central,Papua New Guinea,Europe
RAB,RAB,AYTK,-4.34045982361,152.380004883,32.0,Tokua Airport,Tokua,East New Britain,Papua New Guinea,Europe
VAI,VAI,AYVN,-2.6926,141.3028,10.0,Vanimo Airport,Vanimo,Sandaun (West Sepik),Papua New Guinea,Europe
WBM,WBM,AYWD,-5.6433000564575195,143.89500427246094,5889.0,Wapenamanda Airport,,Enga,Papua New Guinea,Europe
WWK,WWK,AYWK,-3.58383011818,143.669006348,19.0,Wewak International Airport,Wewak,East Sepik,Papua New Guinea,Europe
WTP,WTP,AYWT,-8.54583333333,147.2525,5200.0,Woitape Airport,Fatima Mission,Central,Papua New Guinea,Europe
KSX,KSX,AYYR,-6.6015,146.1813,1520.0,Yasuru Airport,Yasuru,Morobe,Papua New Guinea,Europe
BKG,BKG,BBG,36.532082,-93.200544,1302.0,Branson Airport,Branson,Missouri,United States,Europe
BCW,BCW,BCW,-21.853300094604492,35.43830108642578,0.0,Benguera Island Airport,Benguera Island,Inhambane Province,Mozambique,Europe
JEG,JEG,BGAA,68.7218017578,-52.7846984863,74.0,Aasiaat Airport,Aasiaat,(unassigned),Greenland,Europe
,,BGAG,72.8870298223,-55.5962866545,42.0,Aappilattoq (Qaasuitsup) Heliport,Qaasuitsup,(unassigned),Greenland,Europe
AGM,AGM,BGAM,65.61229608469999,-37.6183354855,24.0,Tasiilaq Heliport,Tasiilaq,(unassigned),Greenland,Europe
LLU,LLU,BGAP,60.46445,-45.56917,54.0,Alluitsup Paa Heliport,Alluitsup Paa,(unassigned),Greenland,Europe
,,BGAQ,60.148357,-44.286916,30.0,Aappilattoq (Kujalleq) Heliport,Nanortalik,(unassigned),Greenland,Europe
,,BGAS,60.597376,-45.382445,71.0,Ammassivik Heliport,,(unassigned),Greenland,Europe
QGQ,QGQ,BGAT,67.9406628551,-53.6218696833,32.0,Attu Heliport,Attu,(unassigned),Greenland,Europe
UAK,UAK,BGBW,61.1604995728,-45.4259986877,112.0,Narsarsuaq Airport,Narsarsuaq,(unassigned),Greenland,Europe
JCH,JCH,BGCH,68.822815547,-51.1734473705,70.0,Qasigiannguit Heliport,Qasigiannguit,(unassigned),Greenland,Europe
CNP,CNP,BGCO,70.7431030273,-22.6504993439,45.0,Neerlerit Inaat Airport,Neerlerit Inaat,(unassigned),Greenland,Europe
QFG,QFG,BGET,60.6197196536,-45.9140619636,9.0,Eqalugaarsuit Heliport,Eqalugaarsuit,(unassigned),Greenland,Europe
QFN,QFN,BGFD,60.0046935439,-44.6569347382,44.0,Narsaq Kujalleq Heliport,Narsaq Kujalleq,(unassigned),Greenland,Europe
GOH,GOH,BGGH,64.19090271,-51.6781005859,283.0,Godthaab / Nuuk Airport,Nuuk,(unassigned),Greenland,Europe
JGO,JGO,BGGN,69.251181993,-53.5148763657,9.0,Qeqertarsuaq Heliport,Qeqertarsuaq Airport,(unassigned),Greenland,Europe
,,BGIA,70.4981453548,-51.3030838966,66.0,Ikerasak Heliport,Ikerasak,(unassigned),Greenland,Europe
QFI,QFI,BGIG,68.1472255861,-53.1735277176,50.0,Iginniarfik,Iginniarfik,(unassigned),Greenland,Europe
QRY,QRY,BGIK,68.14088100629999,-53.4414589405,165.0,Ikerassaarsuk Heliport,Ikerassaarsuk,(unassigned),Greenland,Europe
XIQ,XIQ,BGIL,69.0809150007,-51.1143153906,52.0,Ilimanaq Heliport,Ilimanaq,(unassigned),Greenland,Europe
,,BGIN,73.1998953377,-56.0108166933,95.0,Innarsuit Heliport,Innarsuit,(unassigned),Greenland,Europe
,,BGIS,65.5477923903,-38.9765524864,92.0,Isortoq Heliport,Isortoq,(unassigned),Greenland,Europe
QJI,QJI,BGIT,68.6342530984,-51.8322622776,49.0,Ikamiut Heliport,Ikamiut,(unassigned),Greenland,Europe
JJU,JJU,BGJH,60.715684155299996,-46.0299186409,53.0,Qaqortoq Heliport,Qaqortoq,(unassigned),Greenland,Europe
JAV,JAV,BGJN,69.2432022095,-51.0570983887,95.0,Ilulissat Airport,Ilulissat,(unassigned),Greenland,Europe
QPW,QPW,BGKA,68.3126574861,-53.4602075815,17.0,Kangaatsiaq Heliport,Kangaatsiaq,(unassigned),Greenland,Europe
KUS,KUS,BGKK,65.573600769,-37.1236000061,117.0,Kulusuk Airport,Kulusuk,(unassigned),Greenland,Europe
,,BGKL,72.1527425265,-55.5309855938,92.0,Upernavik Kujalleq Heliport,Upernavik Kujalleq,(unassigned),Greenland,Europe
,,BGKM,65.8639347361,-36.9979190826,89.0,Kuummiut Heliport,Kuummiut,(unassigned),Greenland,Europe
,,BGKQ,74.5780498288,-57.226828336699995,148.0,Kullorsuaq Heliport,Kullorsuaq,(unassigned),Greenland,Europe
,,BGKS,72.38109155069999,-55.53658604619999,112.0,Kangersuatsiaq Heliport,Kangersuatsiaq,(unassigned),Greenland,Europe
QJE,QJE,BGKT,68.85792599759999,-53.123295307199996,18.0,Kitsissuarsuit Heliport,Kitsissuarsuit,(unassigned),Greenland,Europe
,,bgmo,76.7534922147,-69.8450553417,44.0,Moriusaq Heliport,,(unassigned),Greenland,Europe
JSU,JSU,BGMQ,65.4124984741,-52.9393997192,91.0,Maniitsoq Airport,Maniitsoq,(unassigned),Greenland,Europe
,,BGNK,68.236381,-52.852148,152.0,Niaqornaarsuk Heliport,Niaqornaarsuk,(unassigned),Greenland,Europe
,,BGNQ,71.5387687528,-53.205038309100004,57.0,Nuugaatsiaq Heliport,Nuugaatsiaq,(unassigned),Greenland,Europe
JNS,JNS,BGNS,60.9172827256,-46.059923172,83.0,Narsaq Heliport,Narsaq,(unassigned),Greenland,Europe
,,BGNT,70.7893846882,-53.6629450321,10.0,Niaqornat Heliport,Niaqornat,(unassigned),Greenland,Europe
,,BGNU,74.1098528514,-57.065037488899996,184.0,Nuussuaq Heliport,Nuussuaq,(unassigned),Greenland,Europe
JFR,JFR,BGPT,62.0147361755,-49.6709365845,120.0,Paamiut Airport,Paamiut,(unassigned),Greenland,Europe
QQT,QQT,BGQE,69.9958611087,-51.3009166718,69.0,Qeqertaq Heliport,Qeqertaq,(unassigned),Greenland,Europe
NAQ,NAQ,BGQQ,77.4886016846,-69.3887023926,51.0,Qaanaaq Airport,Qaanaaq,(unassigned),Greenland,Europe
OBY,OBY,BGSC,70.4882288244,-21.971679925900002,238.0,Ittoqqortoormiit Heliport,Ittoqqortoormiit,(unassigned),Greenland,Europe
SFJ,SFJ,BGSF,67.0122218992,-50.7116031647,165.0,Kangerlussuaq Airport,Kangerlussuaq,(unassigned),Greenland,Europe
,,BGSG,65.9059197626,-36.3782536983,33.0,Sermiligaaq Heliport,Ittoqqortoormiit,(unassigned),Greenland,Europe
,,BGSI,77.7865173475,-70.6386566162,102.0,Siorapaluk Heliport,Siorapaluk,(unassigned),Greenland,Europe
,,BGSQ,70.011448,-51.932142,38.0,Saqqaq Heliport,Saqqaq,(unassigned),Greenland,Europe
JHS,JHS,BGSS,66.9513015747,-53.7293014526,33.0,Sisimiut Airport,Sisimiut,(unassigned),Greenland,Europe
,,BGST,70.8111719824,-51.6312897205,131.0,Saattut Heliport,Saattut,(unassigned),Greenland,Europe
,,BGSV,76.01861346460001,-65.1176834106,24.0,Savissivik Heliport,Savissivik,(unassigned),Greenland,Europe
THU,THU,BGTL,76.5311965942,-68.7032012939,251.0,Thule Air Base,Thule,(unassigned),Greenland,Europe
,,BGTN,65.8920273392,-37.7834093571,15.0,Tiniteqilaaq Heliport,Tiniteqilaaq,(unassigned),Greenland,Europe
,,BGTQ,60.1943053097,-44.8134469986,21.0,Tasiusaq (Kujalleq) Heliport,Nanortalik,(unassigned),Greenland,Europe
JUV,JUV,BGUK,72.7901992798,-56.1305999756,414.0,Upernavik Airport,Upernavik,(unassigned),Greenland,Europe
UMD,UMD,BGUM,70.6804279261,-52.111630439799995,50.0,Uummannaq Heliport,Uummannaq,(unassigned),Greenland,Europe
JQA,JQA,BGUQ,70.7341995239,-52.6962013245,289.0,Qaarsut Airport,Uummannaq,(unassigned),Greenland,Europe
,,BGUT,71.0494384946,-51.8900156021,223.0,Ukkusissat Heliport,Ukkusissat,(unassigned),Greenland,Europe
AEY,AEY,BIAR,65.66000366210938,-18.07270050048828,6.0,Akureyri Airport,Akureyri,Northeastern Region,Iceland,Europe
EGS,EGS,BIEG,65.2833023071289,-14.401399612426758,76.0,Egilsstaðir Airport,Egilsstaðir,Eastern Region,Iceland,Europe
GRY,GRY,BIGR,66.5458,-18.0173,66.0,Grímsey Airport,Grímsey,Northeastern Region,Iceland,Europe
HFN,HFN,BIHN,64.295601,-15.2272,24.0,Hornafjörður Airport,Höfn,Southern Region,Iceland,Europe
HZK,HZK,BIHU,65.952301,-17.426001,48.0,Húsavík Airport,Húsavík,Northeastern Region,Iceland,Europe
IFJ,IFJ,BIIS,66.05809783935547,-23.135299682617188,8.0,Ísafjörður Airport,Ísafjörður,Westfjords,Iceland,Europe
KEF,KEF,BIKF,63.985000610352,-22.605600357056,171.0,Keflavik International Airport,Reykjavík,Southern Peninsula,Iceland,Europe
RKV,RKV,BIRK,64.1299972534,-21.9405994415,48.0,Reykjavik Airport,Reykjavik,Capital Region,Iceland,Europe
THO,THO,BITN,66.21849822998047,-15.335599899291992,65.0,Thorshofn Airport,Thorshofn,Northeastern Region,Iceland,Europe
VPN,VPN,BIVO,65.72059631347656,-14.850600242614746,16.0,Vopnafjörður Airport,Vopnafjörður,Eastern Region,Iceland,Europe
BJT,BJT,BJT,6.431,79.996,0.0,Bentota River Waterdrome,Bentota,Western Province,Sri Lanka,Europe
PRN,PRN,BKPR,42.5728,21.035801,1789.0,Priština International Airport,Prishtina,Pristina District,Kosovo,Europe
BMQ,BMQ,BMQ,-3.98191,39.730768,52.0,Bamburi Airport,,Coast Province,Kenya,Europe
BOT,BOT,BOT,-7.237257,141.1063222,80.0,Bosset Airport,Bosset,Western (Fly River),Papua New Guinea,Europe
NSB,NSB,BS-NSB,25.767000198364258,-79.25,0.0,Bimini North Seaplane Base,Bimini,Bimini,Bahamas,Europe
BCV,BCV,BZ-BCV,17.2696,-88.776497,0.0,Belmopan Airport,Belmopan,Cayo District,Belize,Europe
BGK,BGK,BZ-BGK,16.51936912536621,-88.40791320800781,3.0,Big Creek Airport,Big Creek,Stann Creek District,Belize,Europe
CUK,CUK,BZ-CUK,17.734699249267578,-88.03250122070312,1.0,Caye Caulker Airport,Caye Caulker,Belize District,Belize,Europe
CYC,CYC,BZ-CYC,17.7007999420166,-88.04109954833984,3.0,Caye Chapel Airport,Caye Chapel,Belize District,Belize,Europe
CZH,CZH,BZ-CZH,18.382200241088867,-88.41190338134766,40.0,Corozal Municipal Airport,Corozal,Corozal District,Belize,Europe
DGA,DGA,BZ-DGA,16.98250961303711,-88.23098754882812,508.0,Dangriga Airport,Dangriga,Stann Creek District,Belize,Europe
PLJ,PLJ,BZ-PLJ,16.536956787109375,-88.36151123046875,3.0,Placencia Airport,Placencia,Stann Creek District,Belize,Europe
PND,PND,BZ-PND,16.102399826,-88.80829620360001,7.0,Punta Gorda Airport,Punta Gorda,Toledo District,Belize,Europe
SJX,SJX,BZ-SJX,18.35610008239746,-88.13079833984375,3.0,Sartaneja Airport,Sartaneja,Corozal District,Belize,Europe
SPR,SPR,BZ-SPR,17.91390037536621,-87.97109985351562,4.0,San Pedro Airport,San Pedro,Cayo District,Belize,Europe
TZA,TZA,BZ-TZA,17.516389846801758,-88.19444274902344,16.0,Belize City Municipal Airport,Belize City,Belize District,Belize,Europe
,,CA-0457,47.2762009676,-61.712865829500004,20.0,L'Île d'Entrée Airfield,L'Île d'Entrée,Quebec,Canada,Europe
,,CA-0671,53.310365,-110.072021,0.0,Cyll,,(unassigned),Canada,Europe
YBW,YBW,CAB3,48.75,-123.233001709,0.0,Bedwell Harbour Seaplane Base,Bedwell Harbour,British Columbia,Canada,Europe
ZNA,ZNA,CAC8,49.1833000183,-123.949996948,0.0,Nanaimo Harbour Water Airport,Nanaimo,British Columbia,Canada,Europe
YWS,YWS,CAE5,50.1436004639,-122.948997498,2100.0,Whistler/Green Lake Water Aerodrome,Whistler,British Columbia,Canada,Europe
YAA,YAA,CAJ4,52.45249938964844,-125.3030014038086,3635.0,Anahim Lake Airport,Anahim Lake,British Columbia,Canada,Europe
,,CAM9,49.177047,-123.168154,0.0,Vancouver International Seaplane Base,Vancouver,British Columbia,Canada,Europe
YGG,YGG,CAX6,48.8545,-123.4969,0.0,Ganges Seaplane Base,Salt Spring Island,British Columbia,Canada,Europe
ZEL,ZEL,CBBC,52.185001,-128.156994,141.0,Bella Bella (Campbell Island) Airport,Bella Bella,British Columbia,Canada,Europe
YWM,YWM,CCA6,52.566898345947266,-55.784698486328125,70.0,Williams Harbour Airport,Williams Harbour,Newfoundland and Labrador,Canada,Europe
YSO,YSO,CCD4,54.9105,-59.78507,193.0,Postville Airport,Postville,Newfoundland and Labrador,Canada,Europe
YFX,YFX,CCK4,52.372798919677734,-55.67390060424805,74.0,St. Lewis (Fox Harbour) Airport,St. Lewis,Newfoundland and Labrador,Canada,Europe
YHA,YHA,CCP4,52.528099060058594,-56.28609848022461,347.0,Port Hope Simpson Airport,Port Hope Simpson,Newfoundland and Labrador,Canada,Europe
,,CCR6,50.0413226692,-125.268448144,7.0,Campbell River (E & B Heli) Heliport,Campbell River,British Columbia,Canada,Europe
,,CCX6,49.670601,-124.932999,0.0,Comox Seaplane Base,Comox,British Columbia,Canada,Europe
YRG,YRG,CCZ2,54.1796989440918,-58.45750045776367,180.0,Rigolet Airport,Rigolet,Newfoundland and Labrador,Canada,Europe
YLE,YLE,CEM3,63.13169860839844,-117.24600219726562,882.0,Whatì Airport,Whatì,Northwest Territories,Canada,Europe
YFJ,YFJ,CFJ2,64.190804,-114.077002,1208.0,Wekweètì Airport,Wekweètì,Northwest Territories,Canada,Europe
,,CGF2,53.576289,-112.982025,2400.0,Edmonton / Lechelt Field,Edmonton,Alberta,Canada,Europe
SUR,SUR,CJV7,52.70859909057617,-88.54190063476562,832.0,Summer Beaver Airport,Summer Beaver,Ontario,Canada,Europe
YAX,YAX,CKB6,53.84920120239258,-89.57939910888672,712.0,Wapekeka Airport,Angling Lake,Ontario,Canada,Europe
WNN,WNN,CKL3,52.89390182495117,-89.28919982910156,819.0,Wunnumin Lake Airport,Wunnumin Lake,Ontario,Canada,Europe
YNO,YNO,CKQ3,52.4900016784668,-92.97109985351562,1082.0,North Spirit Lake Airport,North Spirit Lake,Ontario,Canada,Europe
,,CL85,38.1582333,-122.4563167,115.0,Infineon Raceway Pad 1 Heliport,Sonoma,California,United States,Europe
TVS,TVS,CN-0005,39.7178001404,118.002624512,50.0,Tangshan Sannühe Airport,Tangshan,Hebei Province,China,Europe
OHE,OHE,CN-0011,52.913917,122.427768,1836.0,[Duplicate] Gu-Lian Airport,Mohe,Heilongjiang Province,China,Europe
ZQZ,ZQZ,CN-0024,40.7386016846,114.930000305,2347.0,Zhangjiakou Ningyuan Airport,Zhangjiakou,Hebei Province,China,Europe
BSD,BSD,CN-0027,25.053301,99.168297,5453.0,Baoshan Yunduan Airport,,Yunnan Province,China,Europe
LNJ,LNJ,CN-0040,23.738100051900002,100.025001526,6230.0,Lintsang Airfield,Lincang,Yunnan Province,China,Europe
RKZ,RKZ,CN-0046,29.3519,89.311401,3782.0,Shigatse Air Base,Xigazê,Tibet Autonomous Region,China,Europe
PZI,PZI,CN-0050,26.54,101.79852,1620.0,Bao'anying Airport,Panzhihua,Sichuan Province,China,Europe
FUO,FUO,CN-0061,23.083299636799996,113.069999695,6.0,Foshan Shadi Airport,Foshan,Guangdong Province,China,Europe
HUZ,HUZ,CN-0068,23.0499992371,114.599998474,50.0,Huizhou Airport,Huizhou,Guangdong Province,China,Europe
JGS,JGS,CN-0081,26.856899261499997,114.736999512,281.0,Jinggangshan Airport,Ji'an,Jiangxi Province,China,Europe
AEB,AEB,CN-0082,23.7206001282,106.959999084,490.0,Baise Youjiang Airport,Baise,Guangxi Autonomous Region,China,Europe
AAT,AAT,CN-0113,47.7498855591,88.08580780030002,2460.0,Altay Air Base,Altay,Xinjiang Autonomous Region,China,Europe
THQ,THQ,CN-0130,34.5593986511,105.86000061,3590.0,Tianshui Maijishan Airport,Tianshui,Gansu Province,China,Europe
YZY,YZY,CN-0143,38.8018989563,100.675003052,5280.0,Zhangye Ganzhou Airport,Zhangye,Gansu Province,China,Europe
DDG,DDG,CN-0189,40.0247,124.286003,30.0,Dandong Airport,Dandong,Liaoning Province,China,Europe
NTG,NTG,CN-NTG,32.0708007812,120.975997925,16.0,Nantong Airport,Nantong,Jiangsu Province,China,Europe
XBE,XBE,CNE3,53.965599060058594,-91.0271987915039,800.0,Bearskin Lake Airport,Bearskin Lake,Ontario,Canada,Europe
YNP,YNP,CNH2,55.913898,-61.184399,30.0,Natuashish Airport,Natuashish,Newfoundland and Labrador,Canada,Europe
KIF,KIF,CNM5,53.01250076293945,-89.85530090332031,866.0,Kingfisher Lake Airport,Kingfisher Lake,Ontario,Canada,Europe
YOG,YOG,CNT3,51.6585998535,-85.9017028809,594.0,Ogoki Post Airport,Ogoki Post,Ontario,Canada,Europe
